"LA IMPORTANCIA ESTA EN EL ORDEN QUE SALEN LAS VBLES - vendría a ser la ganancia total que ""genera"" el corte con esa variable"				
Feature	Gain	Cover	Frequency	
Master_cconsumos_lag1	0.000395782430284844	0.00122849849411111	0.000989457462085391	
tcallcenter_lag1	0.000387385113638487	0.00112908717512369	0.000542888165038002	
mcaja_ahorro_adicional_lag1	0.000387068752570623	0.00525036431669078	0.00086686981191552	
Master_Fvencimiento_delta1	0.000384121793392823	0.00020491454481834	0.000674232075934293	
cprestamos_personales_lag1	0.000381123196805841	0.00151689137294898	0.000551644425764422	
matm_delta1	0.000379982302629107	0.000913447498142891	0.00103323876571749	
Master_mconsumospesos_delta1	0.000375170337407883	0.00137432158073886	0.000910651115547617	
tpaquete7	0.000373956149564861	0.0013103607217424	0.000227662778886904	
Visa_mpagosdolares_lag1	0.000373022531160922	0.000890390904422724	0.000893138594094778	
Master_cconsumos	0.000372050581385613	0.00172812040396688	0.00103323876571749	
mttarjeta_master_debitos_automaticos_lag1	0.000362974464279972	0.00124989796390212	0.000735525901019229	
thomebanking_delta1	0.000359869892330363	0.000954472600941934	0.000735525901019229	
tmobile_app	0.00035388471634319	0.000219112800975202	0.000770550943924906	
Visa_Fvencimiento_delta1	0.0003507745456885	0.000192269913953896	0.000709257118839971	
Visa_msaldodolares_delta1	0.000343630136157997	0.00252885475501032	0.000893138594094778	
Visa_mpagado_lag1	0.000343159287779017	0.00180689401840622	0.000884382333368358	
catm_trx	0.000315492065151012	0.00199124861632386	0.000788063465377745	
Visa_status_delta1	0.000308565352972069	0.0011259301229808	0.000402787993415292	
ctarjeta_master_trx	0.000293895522195105	0.00327763691508079	0.00106826380862317	
cpagomiscuentas_delta1	0.00028125539040723	0.00124160928894603	0.000674232075934293	
mcaja_ahorro_adicional	0.000277468334014562	0.00249164015884662	0.000481594339953066	
Visa_msaldodolares	0.000271298375233733	0.000508016069400296	0.000682988336660712	
ccajas_otras	0.00026696058504365	0.00150291798763091	0.000271444082519001	
mplazo_fijo_dolares_lag1	0.000266055561703464	0.00316643385510185	0.000630450772302196	
Visa_mconsumototal_lag1	0.000264820429900421	0.000325897576715474	0.000560400686490841	
cseguro_accidentes_personales_lag1	0.000261283349614366	0.000354967555804186	0.00043781303632097	
mforex_sell_lag1	0.000258229991617128	0.000343703314137607	0.000499106861405905	
matm_other_delta1	0.000258050559882144	0.000965446588129103	0.00057791320794368	
Visa_mfinanciacion_limite_delta1	0.000257524971686043	0.000817336754500146	0.000656719554481454	
Visa_mconsumototal_delta1	0.000256953528524233	0.000274400321447609	0.000525375643585163	
mtarjeta_master_consumo_delta1	0.000256086010435787	0.00192191858413762	0.000604181990122938	
Master_delinquency	0.000245694687425392	0.000279200901388769	0.000166368953801968	
cextraccion_autoservicio_delta1	0.000244670389539872	0.000664092548278709	0.000630450772302196	
tmobile_app_lag1	0.000244335440991891	0.000142185434173178	0.000534131904311583	
matm_other_lag1	0.00024326597991981	0.000855422037719318	0.000551644425764422	
minversion1_pesos	0.000242789176430989	0.00315184367901503	0.00028895660397184	
ccajas_extracciones	0.000238106608855522	0.00214611007467491	0.000630450772302196	
Visa_mlimitecompra_delta1	0.000230497346322433	0.00037326015692415	0.000507863122132325	
mforex_sell	0.000228260422952129	0.000921333177669143	0.000525375643585163	
Master_mlimitecompra_delta1	0.000222986205188587	0.00111505459316836	0.000490350600679486	
Visa_mconsumototal	0.000221560221993971	0.000263810921445657	0.000525375643585163	
Visa_fechaalta_delta1	0.000217635326506233	0.00035544280932284	0.000507863122132325	
mforex_sell_delta1	0.000217411015751761	0.0011860470960768	0.000455325557773808	
cseguro_accidentes_personales	0.000213875247065212	0.000381652636048003	0.000411544254141711	
Visa_status_lag1	0.000201474946603727	0.000461052589100807	0.00014010017162271	
ctarjeta_master_trx_lag1	0.000197372566188327	0.000542162675716638	0.000402787993415292	
Visa_delinquency	0.000187133553778919	0.000147848375449215	0.000122587650169871	
matm_other	0.000183045007996017	0.000896329816602473	0.000507863122132325	
ccuenta_debitos_automaticos_delta1	0.00018074456000768	0.00166387654685299	0.000297712864698259	
Master_cconsumos_delta1	0.000179168870511965	0.000862241643095802	0.000455325557773808	
minversion2	0.000179010298974008	0.00392391226852371	0.000359006689783195	
Master_fechaalta_delta1	0.000178598002271363	0.000109632248566036	0.000499106861405905	
mttarjeta_master_debitos_automaticos_delta1	0.000177152038287568	0.00142754661398679	0.000499106861405905	
mprestamos_hipotecarios	0.000173106628052141	0.00104435585834619	7,88E+09	
tpaquete9	0.000166979780489781	0.000403708233727996	0.000236419039613324	
minversion2_lag1	0.000165623895045809	0.00374277613448617	0.000394031732688873	
catm_trx_delta1	0.000163714620495386	0.000382153783321531	0.00042905677559455	
tcallcenter_delta1	0.000158592154365248	0.000323426900033637	0.000236419039613324	
cseguro_vida_lag1	0.000157879828725628	0.00216595775235969	0.000367762950509614	
mcheques_emitidos_delta1	0.000156936459806322	0.00232056875164812	0.000323981646877517	
ctarjeta_debito_delta1	0.000153636915882106	0.0026976195556906	0.000271444082519001	
Visa_mpagosdolares_delta1	0.000152735051615926	0.00110958856664177	0.00071801337956639	
internet_delta1	0.000151597036810188	0.000221692170321302	0.000315225386151098	
cforex_buy_delta1	0.00015007397498077	0.00162864698579742	0.00014885643234913	
Master_mconsumosdolares_delta1	0.000147947343192342	0.000391755554265912	0.000359006689783195	
active_quarter_lag1	0.000147844946086895	0.000158141181202865	0.000262687821792582	
catm_trx_other	0.00014781642590787	0.00140427935662078	0.000350250429056776	
mcheques_depositados_delta1	0.000147563281946236	0.00352808436752892	0.000402787993415292	
cpayroll_trx_delta1	0.000142978290900917	0.00028115851508687	0.000332737907603937	
ccajas_trx_lag1	0.000141010954914886	0.000715862719139976	0.000525375643585163	
mprestamos_hipotecarios_lag1	0.000126304440485667	0.00234020782802151	0.000192637735981227	
ccajas_trx	0.000121312383852722	0.000279388497441777	0.000297712864698259	
cliente_edad_delta1	0.000120094928026906	0.000278719155335707	0.000253931561066162	
ctarjeta_master_trx_delta1	0.00011912967010111	0.00132276902435439	0.000394031732688873	
tpaquete9_lag1	0.000115026332998773	0.000707976810465451	0.000175125214528388	
Visa_delinquency_lag1	0.000114947676043423	0.000242489056536509	7,88E+09	
tmobile_app_delta1	0.000109086834405101	0.000426785603558268	0.000262687821792582	
ctarjeta_visa_delta1	0.000106680267756272	0.00179554583208889	0.000227662778886904	
cseguro_vida	0.000106191168891041	0.00034574739311747	0.000157612693075549	
Master_mconsumototal	0.00010603910187261	0.000141974846910091	0.000253931561066162	
minversion1_pesos_delta1	0.000104846366520585	0.000242541073194529	0.000175125214528388	
Master_msaldodolares_lag1	0.000100038425129341	0.00098967359484611	0.000236419039613324	
ccajas_extracciones_delta1	9,96E+09	0.000704634912048839	0.000297712864698259	
cseguro_vivienda_lag1	9,64E+07	0.000278879711892475	0.000175125214528388	
cprestamos_hipotecarios	9,60E+09	0.000800113511988533	6,13E+09	
cseguro_vivienda	9,55E+09	0.000225068364596139	0.000157612693075549	
Master_mconsumosdolares	9,30E+08	0.00015116720627299	0.000315225386151098	
Master_mconsumosdolares_lag1	9,26E+09	0.000267171151724127	0.000306469125424679	
Master_mpagosdolares	8,94E+09	0.00015627255341753	0.000262687821792582	
Master_mpagosdolares_lag1	8,77E+09	0.000360581230201481	0.000262687821792582	
mtarjeta_visa_descuentos_delta1	8,76E+09	0.000801253142734004	0.000218906518160485	
Master_delinquency_lag1	8,56E+09	0.000318138081505007	8,76E+09	
Master_mpagado	8,18E+09	0.00034047209433696	0.000175125214528388	
mcheques_depositados	7,94E+09	0.000850074404467229	0.000253931561066162	
ccajas_extracciones_lag1	7,68E+09	0.000548282156735683	0.000271444082519001	
active_quarter	7,67E+09	7,61E+09	0.00014010017162271	
mcaja_ahorro_adicional_delta1	7,60E+09	0.00154621410258306	0.000210150257434065	
Master_msaldodolares	7,25E+09	0.00185452890314624	0.000175125214528388	
mprestamos_prendarios_lag1	7,18E+09	0.00242866631784566	0.000218906518160485	
Master_mpagado_lag1	6,80E+08	0.000419682465385055	0.000183881475254807	
catm_trx_other_lag1	6,62E+09	0.000480843438013829	0.000201393996707646	
ccheques_depositados_delta1	6,56E+08	0.00121724318922718	0.000113831389443452	
Master_mpagado_delta1	6,49E+09	0.000436424267374638	0.00014885643234913	
ctarjeta_master_debitos_automaticos_lag1	6,47E+09	0.000361672816192334	0.000157612693075549	
Master_mconsumototal_lag1	6,14E+09	0.000197051856502168	0.00014010017162271	
Master_status_delta1	5,99E+09	0.000230153088396089	0.000201393996707646	
ccajas_consultas	5,83E+09	0.000424163001571288	0.000122587650169871	
ctarjeta_master_debitos_automaticos	5,69E+09	7,27E+09	0.000113831389443452	
mprestamos_hipotecarios_delta1	5,36E+09	1,44E+09	7,88E+09	
cforex	5,16E+09	4,03E+09	0.000131343910896291	
minversion1_pesos_lag1	5,15E+09	0.000863065431138021	0.000122587650169871	
ccajas_depositos	4,81E+09	0.000525769102719589	0.000105075128717033	
mtarjeta_visa_descuentos_lag1	4,49E+08	0.00032292437787047	9,63E+09	
Master_mpagosdolares_delta1	4,40E+09	5,44E+09	0.000122587650169871	
cforex_sell_lag1	4,38E+09	0.00119725794619571	0.000131343910896291	
tpaquete7_lag1	4,22E+09	0.0012445737037739	0.000315225386151098	
ctarjeta_visa_lag1	4,08E+09	0.00136821645967827	0.000218906518160485	
